,Streams,Track Name,Artist,Artist_popularity,Artist_follower,Streams1,Top10
487,39422826,On The Road (feat. Meek Mill & Lil Baby),Post Malone,100,high,medium,1
488,39406397,I'm a Mess,Bebe Rexha,87,medium,medium,0
489,39115293,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,81,very low,medium,0
490,38394388,The Christmas Song (Merry Christmas To You),Nat King Cole,82,very low,medium,0
491,38215560,FEFE,6ix9ine,84,medium,medium,0
492,37962242,"Fire On Fire - From ""Watership Down""",Sam Smith,92,high,medium,0
493,37905955,July,Noah Cyrus,82,very low,medium,0
494,37834292,Outnumbered,Dermot Kennedy,80,very low,medium,0
495,37767091,White Christmas,Bing Crosby,85,very low,medium,0
496,37258457,monster,21 Savage,90,medium,medium,0
497,36772822,Cool,Jonas Brothers,87,low,medium,0
498,36766954,Stuck In A Dream (feat. Gunna),Lil Mosey,85,low,medium,0
499,36284134,Freaky,Tory Lanez,87,low,medium,0
500,36051043,If The World Was Ending (feat. Julia Michaels),JP Saxe,78,very low,medium,0
501,35832335,I Forgot That You Existed,Taylor Swift,95,high,medium,0
502,35634634,Imposible,Luis Fonsi,84,medium,medium,0
503,35367373,Take Me Back to London (feat. Stormzy),Ed Sheeran,98,high,medium,0
504,34911641,Robbery,Juice WRLD,98,medium,medium,0
505,34889291,No Sleep (feat. Bonn),Martin Garrix,88,high,medium,0
506,34883858,in my head,Ariana Grande,97,high,medium,1
507,34732688,8,Billie Eilish,98,high,medium,1
508,34442787,BAD!,XXXTENTACION,95,high,medium,1
509,34349128,Blanco,J Balvin,99,high,medium,0
510,34331702,Red Room,Offset,89,low,medium,0
511,34309965,Cuerpo en Venta,Noriel,82,low,medium,0
512,34204460,Isis,Joyner Lucas,81,very low,medium,0
513,34006774,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,83,very low,medium,0
514,33909708,A Holly Jolly Christmas - Single Version,Burl Ives,75,very low,medium,0
515,33553035,Merry Christmas Everyone,Shakin' Stevens,73,very low,medium,0
516,33508718,Did It Again,Lil Tecca,88,low,medium,0
517,33175503,Enemies (feat. DaBaby),Post Malone,100,high,medium,1
518,32951658,Panini - DaBaby Remix,Lil Nas X,87,low,medium,1
519,32865199,Have Yourself A Merry Little Christmas,Sam Smith,92,high,medium,0
520,32702338,Soldi,Mahmood,75,very low,medium,0
521,32679616,Time - Edit,NF,89,low,medium,0
522,32638907,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,100,high,medium,1
523,32519216,All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones,81,very low,medium,0
524,32468568,It's the Most Wonderful Time of the Year,Andy Williams,79,very low,medium,0
525,32445140,Sanctuary,Joji,86,low,medium,0
526,32422871,Treat You Better,Shawn Mendes,94,high,medium,1
527,32411833,The Bones,Maren Morris,81,very low,medium,0
528,32081172,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,82,very low,medium,0
529,32049335,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,84,low,medium,0
530,31990248,Easy,Camila Cabello,96,high,medium,0
531,31878920,Bellaquita,Dalex,93,very low,medium,0
532,31440253,Lights Up,Harry Styles,95,medium,medium,0
533,31390005,BUTTERFLY EFFECT,Travis Scott,98,medium,medium,0
534,31253242,make up,Ariana Grande,97,high,medium,1
535,31097512,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,88,medium,medium,0
536,30939956,All Girls Are The Same,Juice WRLD,98,medium,medium,0
537,30826841,Ransom (with Juice WRLD) - Remix,Lil Tecca,88,low,medium,0
538,30721342,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,100,high,medium,1
539,30719217,Amigos Con Derechos,Reik,87,low,medium,0
540,30671393,It's the Most Wonderful Time of the Year,Andy Williams,79,very low,medium,0
541,30604900,Arcade,Duncan Laurence,65,very low,medium,0
542,30504491,Love Me,Lil Tecca,88,low,medium,0
543,30420255,F.N,Lil Tjay,87,very low,medium,0
544,30196596,Hollywood's Bleeding,Post Malone,100,high,medium,1
545,30113990,Circles,Post Malone,100,high,medium,1
546,30023639,Did It Again,Lil Tecca,88,low,medium,0
547,29972876,Falling,Harry Styles,95,medium,medium,0
548,29937814,Bellaquita - Remix,Dalex,93,very low,medium,0
549,29888307,The Archer,Taylor Swift,95,high,medium,0
550,29757705,Hear Me Calling,Juice WRLD,98,medium,medium,0
551,29475974,Jackie Chan,TiÃ«sto,85,medium,medium,0
552,29457967,Shameless,Camila Cabello,96,high,medium,0
553,29377996,Not Ok,Kygo,89,medium,medium,0
554,29356244,Just Us (feat. SZA),DJ Khaled,82,medium,medium,0
555,29194083,I Don't Belong In This Club,Why Don't We,84,low,medium,0
556,29113090,Who Do You Love,The Chainsmokers,91,high,medium,0
557,29010937,Baby,Amenazzy,73,very low,medium,0
558,29009903,Used To Love (with Dean Lewis),Martin Garrix,88,high,medium,0
559,28985812,200 km/h,Apache 207,86,very low,medium,0
560,28933276,Best Part of Me (feat. YEBBA),Ed Sheeran,98,high,medium,0
561,28905636,So Close,NOTD,76,very low,medium,0
562,28903609,Tilidin,Capital Bra,86,low,medium,0
563,28852921,Ransom,Lil Tecca,88,low,medium,0
564,28772222,Liar,Camila Cabello,96,high,medium,0
565,28764560,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,76,very low,medium,0
566,28753280,Fairytale of New York (feat. Kirsty MacColl),The Pogues,73,very low,medium,0
567,28728227,First Off (feat. Travis Scott),Future,91,medium,medium,0
568,28618471,Love Lies (with Normani),Khalid,96,medium,medium,1
